id,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,1.3875,1.1125,0.375,24.777463,11.3398,5.556502,6.6621325,9.05
1,1.7,1.4125,0.5,50.6605565,20.354941,10.9918385,14.9968855,11.1
2,1.5,1.175,0.4125,28.84561625,13.4093135,6.78970525,7.93786,9.84
3,1.575,1.1375,0.35,30.0221205,11.9351395,7.3425205,8.6465975,11.31
4,1.6,1.2875,0.4375,38.82464025,16.96717575,7.41339425,10.77281,11.6
5,1.275,0.975,0.375,19.57532975,7.3425205,4.2807745,6.23689,10.18
6,1.35,1.025,0.35,20.96445525,8.50485,4.63514325,6.9456275,10.17
7,1.3125,0.9875,0.3125,17.44911725,8.54737425,3.98310475,5.2446575,8.85
8,1.6375,1.25,0.425,39.179009,16.25843825,8.71747125,10.489315,11.32
9,1.55,1.2,0.425,32.772022,14.5432935,6.23689,9.08601475,9.75
10,1.0875,0.875,0.3125,15.37960375,5.34388075,3.24601775,4.9611625,13.04
11,1.7375,1.3375,0.4125,47.513762,21.1770765,11.49572225,13.891255,10.52
12,1.4375,1.1,0.3125,24.8058125,12.03436275,5.5848515,6.3786375,9.04
13,1.6125,1.25,0.4375,39.7743485,17.0097,8.83086925,9.7805775,10.82
14,1.425,1.075,0.3875,23.473386,11.623295,5.896696,4.26659975,9.63
15,1.325,1.075,0.4125,20.3265915,8.1930055,4.94698775,5.5281525,9.19
16,1.275,0.95,0.3375,16.91047675,7.3425205,3.9405805,4.9611625,8.99
17,1.55,1.2,0.4125,34.699788,17.10892325,7.64019025,8.50485,10.56
18,1.7625,1.3875,0.5125,46.67745175,23.09066775,6.08096775,11.29727575,12.42
19,1.5875,1.2375,0.425,34.6147395,14.78426425,8.68912175,8.221355,11.83
20,1.425,1.15,0.3875,26.308336,11.793392,5.5281525,7.7961125,10.13
21,1.725,1.3125,0.5,47.513762,19.6462035,11.566596,13.324265,14.42
22,1.25,0.975,0.325,18.01610725,7.47009325,4.43669675,5.2446575,8.32
23,1.125,0.85,0.325,12.94154675,5.953395,2.87747425,3.40194,9.01
24,1.5375,1.3125,0.4125,37.98833,16.44271,9.7805775,10.489315,11.3
25,1.525,1.2125,0.3875,34.8415355,15.4504775,7.4559185,8.221355,10.16
26,1.6125,1.2875,0.4125,35.62114675,11.453198,6.4353365,11.056305,14.49
27,1.675,1.2875,0.475,39.745999,17.90270925,8.334753,11.056305,10.48
